-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 11/01/2024 through 11/30/2024 
Location: Latitude  -4.9453   Longitude -79.0319 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1414.13 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
GWETTOP         MERRA-2 Surface Soil Wetness (1) 
GWETROOT        MERRA-2 Root Zone Soil Wetness (1) 
GWETPROF        MERRA-2 Profile Soil Moisture (1) 
WS2M_MAX        MERRA-2 Wind Speed at 2 Meters Maximum (m/s) 
WS2M_MIN        MERRA-2 Wind Speed at 2 Meters Minimum (m/s) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
PS              MERRA-2 Surface Pressure (kPa) 
-END HEADER-
YEAR,DOY,PRECTOTCORR,GWETTOP,GWETROOT,GWETPROF,WS2M_MAX,WS2M_MIN,T2M_MAX,T2M_MIN,PS
2024,306,1.38,-999.0,-999.0,-999.0,0.72,0.26,26.47,16.87,85.67
2024,307,0.25,-999.0,-999.0,-999.0,0.94,0.02,25.45,14.94,85.76
2024,308,3.22,-999.0,-999.0,-999.0,0.73,0.2,24.09,15.6,85.85
2024,309,3.03,-999.0,-999.0,-999.0,0.69,0.14,26.9,17.13,85.79
2024,310,18.59,-999.0,-999.0,-999.0,0.55,0.04,22.52,17.52,85.84
2024,311,1.3,-999.0,-999.0,-999.0,1.11,0.05,25.48,17.17,85.81
2024,312,1.43,-999.0,-999.0,-999.0,1.11,0.5,25.51,17.12,85.72
2024,313,0.31,-999.0,-999.0,-999.0,1.13,0.08,25.47,15.46,85.7
2024,314,3.72,-999.0,-999.0,-999.0,0.77,0.16,25.46,15.54,85.83
2024,315,1.1,-999.0,-999.0,-999.0,0.45,0.1,23.93,17.08,85.86
2024,316,0.04,-999.0,-999.0,-999.0,1.12,0.26,27.51,15.69,85.78
2024,317,0.0,-999.0,-999.0,-999.0,1.18,0.55,25.2,13.75,85.77
2024,318,0.0,-999.0,-999.0,-999.0,1.02,0.24,24.39,13.03,85.74
2024,319,0.0,-999.0,-999.0,-999.0,0.69,0.17,24.92,13.48,85.73
2024,320,4.23,-999.0,-999.0,-999.0,1.14,0.25,25.44,16.44,85.68
2024,321,1.14,-999.0,-999.0,-999.0,0.67,0.23,26.29,15.8,85.71
2024,322,8.37,-999.0,-999.0,-999.0,0.66,0.1,25.12,16.48,85.79
2024,323,5.11,-999.0,-999.0,-999.0,0.89,0.07,25.9,16.89,85.8
2024,324,5.87,-999.0,-999.0,-999.0,0.91,0.19,24.48,17.86,85.77
2024,325,6.19,-999.0,-999.0,-999.0,0.73,0.14,24.93,17.73,85.84
2024,326,2.05,-999.0,-999.0,-999.0,0.95,0.05,25.1,14.57,85.97
2024,327,4.79,-999.0,-999.0,-999.0,1.37,0.1,24.17,15.73,85.97
2024,328,6.16,-999.0,-999.0,-999.0,1.86,0.25,22.3,16.03,86.0
2024,329,8.15,-999.0,-999.0,-999.0,1.69,0.07,23.24,15.28,86.0
2024,330,2.92,-999.0,-999.0,-999.0,1.75,0.3,24.01,16.47,86.06
2024,331,3.09,-999.0,-999.0,-999.0,1.6,0.04,25.8,16.17,85.93
2024,332,4.32,-999.0,-999.0,-999.0,1.32,0.04,21.35,16.53,85.88
2024,333,2.58,-999.0,-999.0,-999.0,1.67,0.03,24.24,16.06,85.86
2024,334,15.53,-999.0,-999.0,-999.0,2.36,0.29,22.77,16.62,85.9
2024,335,10.6,-999.0,-999.0,-999.0,2.38,0.27,22.69,16.62,85.97
